HammingDist,NumFit,SampledStates,ProportionFit,ExhaustiveSearch,TotalFit,FitPerState
1,51,80,0.6375,1,35.0215,0.437768
2,1497,3160,0.473734,1,626.807,0.198357
3,33407,82160,0.406609,1,7837.45,0.0953925
4,603508,1.58158e+06,0.381586,1,78023.2,0.0493325
5,746515,2e+06,0.373258,0,55202.5,0.0276013
6,743195,2e+06,0.371598,0,32848.7,0.0164243
7,744936,2e+06,0.372468,0,21385,0.0106925
8,748520,2e+06,0.37426,0,14568.8,0.00728439
9,750255,2e+06,0.375128,0,10466.2,0.00523309
10,752011,2e+06,0.376005,0,8152.84,0.00407642
11,753231,2e+06,0.376615,0,6557.47,0.00327873
12,753815,2e+06,0.376908,0,5410.63,0.00270531
13,754600,2e+06,0.3773,0,4638.37,0.00231919
14,754713,2e+06,0.377356,0,4170.04,0.00208502
15,754886,2e+06,0.377443,0,3742.92,0.00187146
16,755143,2e+06,0.377572,0,3477.31,0.00173865
17,754522,2e+06,0.377261,0,3168.2,0.0015841
18,755132,2e+06,0.377566,0,2964.53,0.00148227
19,754859,2e+06,0.377429,0,2740.9,0.00137045
20,752568,2e+06,0.376284,0,2681.88,0.00134094
21,753479,2e+06,0.37674,0,2461.56,0.00123078
22,754878,2e+06,0.377439,0,2303.31,0.00115165
23,753012,2e+06,0.376506,0,2179.37,0.00108969
24,753569,2e+06,0.376785,0,2011.13,0.00100557
25,753301,2e+06,0.37665,0,1934.21,0.000967103
26,753626,2e+06,0.376813,0,1817.74,0.000908868
27,754360,2e+06,0.37718,0,1710.26,0.000855131
28,754477,2e+06,0.377238,0,1621.73,0.000810865
29,754748,2e+06,0.377374,0,1499.93,0.000749967
30,755603,2e+06,0.377802,0,1411.49,0.000705747
31,755944,2e+06,0.377972,0,1350.22,0.000675109
32,755443,2e+06,0.377721,0,1264.15,0.000632073
33,755080,2e+06,0.37754,0,1199.79,0.000599896
34,754064,2e+06,0.377032,0,1132.96,0.000566478
35,754351,2e+06,0.377175,0,1048.85,0.000524426
36,753670,2e+06,0.376835,0,1005.14,0.000502568
37,752720,2e+06,0.37636,0,943.467,0.000471734
38,751340,2e+06,0.37567,0,885.009,0.000442505
39,749331,2e+06,0.374665,0,819.234,0.000409617
40,748435,2e+06,0.374217,0,786.151,0.000393076
